from,to,distance
1343,1377,0.953907
1377,1343,0.953907
991,547,0.953892
547,991,0.953892
2048,1435,0.953846
1887,1586,0.953760
1586,1887,0.953760
1022,496,0.953416
1421,2066,0.953412
2066,1421,0.953412
84,1586,0.953378
1586,84,0.953378
2089,605,0.953243
605,2089,0.953243
1095,818,0.953131
818,1095,0.953131
637,1764,0.953043
1764,637,0.953043
1141,871,0.952989
1418,1356,0.952927
1356,1418,0.952927
1019,1266,0.952842
1117,830,0.952813
612,491,0.952788
491,612,0.952788
1681,1669,0.952767
1669,1681,0.952767
1054,970,0.952637
1384,1141,0.952602
1750,1054,0.952529
425,47,0.952506
47,425,0.952506
870,336,0.952418
336,870,0.952418
963,931,0.952387
963,146,0.952262
1135,1421,0.952254
408,136,0.952229
136,408,0.952229
1385,1343,0.952118
1343,1385,0.952118
565,338,0.952001
338,565,0.952001
1375,1432,0.951980
1432,1375,0.951980
1528,870,0.951946
870,1528,0.951946
789,1767,0.951935
1767,789,0.951935
1384,1245,0.951923
84,1587,0.951831
1587,84,0.951831
680,130,0.951783
1453,1343,0.951780
807,864,0.951746
1271,906,0.951621
906,1271,0.951621
1801,1533,0.951620
1533,1801,0.951620
1058,1062,0.951617
1062,1058,0.951617
1250,1342,0.951556
1342,1250,0.951556
1151,1165,0.951555
1240,1368,0.951510
1368,1240,0.951510
1286,1172,0.951494
1286,1464,0.951368
1307,1474,0.951306
1474,1307,0.951306
888,1228,0.951274
1387,1375,0.951182
859,856,0.951053
856,859,0.951053
1202,1310,0.951046
1436,1481,0.951038
1506,1392,0.950995
1520,1392,0.950995
1392,1506,0.950995
1392,1520,0.950995
1442,1151,0.950974
1474,1172,0.950953
114,944,0.950916
1246,1245,0.950723
815,944,0.950720
425,45,0.950710
45,425,0.950710
1416,856,0.950552
1136,1289,0.950478
1289,1136,0.950478
1041,272,0.950392
272,1041,0.950392
1202,1105,0.950332
1432,1424,0.950332
2058,1054,0.950326
346,1810,0.950325
1810,346,0.950325
1426,1061,0.950319
1061,1426,0.950319
949,874,0.950299
874,949,0.950299
810,819,0.950260
1365,1019,0.950253
751,146,0.950214
1078,957,0.950195
957,1078,0.950195
1313,1105,0.950132
952,515,0.950043
515,952,0.950043
1277,1349,0.949873
1349,1277,0.949873
1441,680,0.949825
823,751,0.949697
751,823,0.949697
815,895,0.949668
895,815,0.949668
1326,1105,0.949666
874,1022,0.949569
1022,874,0.949569
1148,964,0.949535
964,1148,0.949535
829,821,0.949508
18,84,0.949363
1486,1330,0.949262
1240,1421,0.949234
1093,1151,0.949191
774,186,0.949143
186,774,0.949143
1312,1134,0.949036
1134,1312,0.949036
214,1571,0.948978
1571,214,0.948978
915,1305,0.948974
1305,915,0.948974
1719,102,0.948878
1718,102,0.948878
896,637,0.948873
637,896,0.948873
730,1770,0.948844
1247,1243,0.948830
1243,1247,0.948830
1212,1191,0.948787
1191,1212,0.948787
786,130,0.948730
724,94,0.948726
94,724,0.948726
806,808,0.948703
808,806,0.948703
1107,914,0.948698
914,1107,0.948698
136,612,0.948567
612,136,0.948567
958,801,0.948483
1285,1266,0.948439
1418,1141,0.948418
1023,1362,0.948374
1362,1023,0.948374
1566,1600,0.948360
1600,1566,0.948360
860,1202,0.948335
1599,214,0.948327
214,1599,0.948327
875,819,0.948212
985,953,0.948139
2062,442,0.948135
442,2062,0.948135
1415,1102,0.948117
1874,492,0.948098
492,1874,0.948098
964,1216,0.948042
1836,612,0.948027
47,45,0.948023
45,47,0.948023
10,1566,0.947985
1566,10,0.947985
1455,1445,0.947954
1445,1455,0.947954
1099,1167,0.947925
1167,1099,0.947925
114,991,0.947922
1289,0,0.947913
888,1147,0.947912
1893,1770,0.947833
1427,1378,0.947810
1275,915,0.947769
494,612,0.947729
1388,1394,0.947642
1394,1388,0.947642
1336,1307,0.947638
879,911,0.947638
911,879,0.947638
239,1054,0.947532
515,442,0.947468
442,515,0.947468
820,870,0.947275
1706,1707,0.947156
1707,1706,0.947156
1449,1316,0.947013
1316,1449,0.947013
1684,656,0.947009
656,1684,0.947009
774,496,0.946992
1573,1587,0.946988
1079,1120,0.946946
887,819,0.946931
1416,931,0.946907
181,637,0.946906
1669,1671,0.946888
1671,1669,0.946888
494,1440,0.946874
1440,494,0.946874
873,1289,0.946863
948,89,0.946748
89,948,0.946748
1135,1368,0.946697
1426,970,0.946663
1262,1031,0.946517
1031,1262,0.946517
1023,1093,0.946497
1093,1023,0.946497
810,887,0.946454
887,810,0.946454
2089,1972,0.946452
1972,2089,0.946452
896,114,0.946450
946,819,0.946276
914,1058,0.946262
