component_id,mean,sum,count,min,max
661,3.999772,4.000000,0.999943,0.999943,0.999943
662,3.999503,4.000000,0.999876,0.999876,0.999876
663,3.999787,4.000000,0.999947,0.999947,0.999947
665,3.999866,4.000000,0.999966,0.999966,0.999966
666,3.999932,4.000000,0.999983,0.999983,0.999983
667,3.999916,4.000000,0.999979,0.999979,0.999979
689,3.937217,4.000000,0.984304,0.984304,0.984304
691,3.908243,4.000000,0.977061,0.977061,0.977061
703,3.845318,4.000000,0.961329,0.961329,0.961329
737,3.924443,4.000000,0.981111,0.981111,0.981111
815,4.000000,4.000000,1.000000,1.000000,1.000000
831,3.931701,4.000000,0.982925,0.982925,0.982925
866,3.988475,4.000000,0.997119,0.997119,0.997119
899,3.900319,4.000000,0.975080,0.975080,0.975080
903,3.898445,4.000000,0.974611,0.974611,0.974611
907,3.868072,4.000000,0.967018,0.967018,0.967018
914,17.519718,18.000000,0.973318,0.960039,0.987669
