from,to,distance
2712,590,0.790163
4071,914,0.789701
190,179,0.789583
1358,4133,0.789365
270,237,0.789097
4541,582,0.788782
5057,5528,0.788702
5528,5057,0.788702
2526,5530,0.788653
4473,2779,0.788579
83,4585,0.788329
1527,1647,0.787939
1716,5044,0.787540
2917,5306,0.787491
4512,4420,0.787401
3228,3769,0.787356
2326,2464,0.787260
4788,1331,0.787101
4788,1322,0.787101
1322,4788,0.787101
1331,4788,0.787101
5103,5097,0.786986
4079,2308,0.786735
3497,3099,0.786715
2526,3616,0.786399
2441,4520,0.786226
2293,2287,0.786223
5523,3032,0.786084
997,214,0.785815
4415,226,0.785685
3225,3013,0.785629
2184,1441,0.785084
2326,3235,0.784740
684,2185,0.784559
5361,61,0.784040
684,808,0.783819
3890,3851,0.783758
4437,5451,0.783688
1171,43,0.783545
2377,2376,0.783352
2393,5211,0.783227
4321,3248,0.783135
5528,3958,0.783009
1162,569,0.782995
1159,2475,0.782717
2441,5363,0.782540
4513,2549,0.782285
2736,4614,0.781793
541,2889,0.781713
3081,2918,0.781632
1159,794,0.781631
783,201,0.781301
1171,2648,0.781227
3278,3241,0.781048
2775,3108,0.780880
1054,2573,0.780681
30,45,0.780477
4308,4521,0.780352
83,4834,0.780271
5356,61,0.779986
511,244,0.779983
2709,2675,0.779799
3073,4199,0.779345
1719,5501,0.779040
893,892,0.779040
1712,4705,0.778400
3071,3029,0.778016
2736,493,0.777890
4513,4060,0.777819
4920,26,0.777785
5328,3422,0.777708
270,843,0.777318
5427,3135,0.777116
147,5356,0.777070
1636,824,0.777000
1509,5144,0.776943
2775,3848,0.776656
87,218,0.776631
860,4732,0.776628
2450,2057,0.776587
1296,859,0.776058
147,4543,0.775686
3061,2627,0.775612
3071,158,0.775564
825,2526,0.775544
1699,1960,0.775461
5354,5356,0.775157
3131,184,0.775005
1296,4326,0.774844
303,740,0.774534
4419,5364,0.773967
742,1524,0.773450
742,1503,0.773450
5328,667,0.773214
2981,4723,0.772612
2490,3852,0.772600
2214,5371,0.772580
1384,632,0.772317
4309,2458,0.771987
4229,2911,0.771684
4070,598,0.771464
3333,5356,0.771398
2214,1181,0.770891
3791,4451,0.770824
4776,238,0.770428
3497,5336,0.770001
860,4980,0.769518
4608,2391,0.769167
47,373,0.769127
3061,3096,0.768988
3333,4437,0.768967
825,3807,0.768959
47,403,0.768653
189,179,0.768640
4070,2630,0.768510
541,3317,0.768465
3865,3269,0.768377
4541,4797,0.767835
2709,2682,0.767628
4254,353,0.767375
2255,5504,0.767067
1404,5363,0.766822
2577,1668,0.766368
1719,1715,0.766249
4419,5359,0.766004
1404,4520,0.765895
2153,2713,0.765558
4776,2554,0.765444
1421,5374,0.764724
2577,5044,0.764505
3278,737,0.763744
3098,3095,0.763474
109,113,0.763437
491,3971,0.762947
4153,2568,0.762685
2388,4876,0.762287
3098,3094,0.761439
3325,1892,0.761397
1892,3325,0.761397
2336,2568,0.761383
2082,3106,0.760754
1384,2123,0.760723
3074,310,0.760692
295,275,0.760249
