index,filename,cluster,distance
737,dataset\81. academicPhotos\academicPhotos0000766.jpg,9,620.825623
2965,dataset\81. academicPhotos\academicPhotos0003169.jpg,0,619.859619
190,dataset\81. academicPhotos\academicPhotos0000197.jpg,0,619.359680
1085,dataset\81. academicPhotos\academicPhotos0001157.jpg,3,614.227783
1062,dataset\81. academicPhotos\academicPhotos0001134.jpg,3,614.227783
114,dataset\81. academicPhotos\academicPhotos0000116.jpg,3,613.639099
523,dataset\81. academicPhotos\academicPhotos0000542.jpg,1,612.827881
3199,dataset\81. academicPhotos\academicPhotos0003436.jpg,0,612.483154
4153,dataset\81. academicPhotos\academicPhotos0004536.jpg,3,611.410828
3230,dataset\81. academicPhotos\academicPhotos0003473.jpg,5,610.393311
4831,dataset\81. academicPhotos\academicPhotos0005261.jpg,3,608.805542
4904,dataset\81. academicPhotos\academicPhotos0005338.jpg,3,608.678467
1672,dataset\81. academicPhotos\academicPhotos0001778.jpg,0,607.628906
3421,dataset\81. academicPhotos\academicPhotos0003739.jpg,0,607.571533
1485,dataset\81. academicPhotos\academicPhotos0001580.jpg,4,605.352905
4313,dataset\81. academicPhotos\academicPhotos0004711.jpg,9,604.372803
707,dataset\81. academicPhotos\academicPhotos0000735.jpg,2,604.162598
511,dataset\81. academicPhotos\academicPhotos0000530.jpg,1,603.029602
3909,dataset\81. academicPhotos\academicPhotos0004249.jpg,8,601.292603
4321,dataset\81. academicPhotos\academicPhotos0004719.jpg,0,601.209045
4832,dataset\81. academicPhotos\academicPhotos0005262.jpg,3,600.379883
2459,dataset\81. academicPhotos\academicPhotos0002632.jpg,0,600.017456
1709,dataset\81. academicPhotos\academicPhotos0001823.jpg,0,599.365601
1891,dataset\81. academicPhotos\academicPhotos0002017.jpg,6,598.862671
2467,dataset\81. academicPhotos\academicPhotos0002642.jpg,6,598.426270
2112,dataset\81. academicPhotos\academicPhotos0002245.jpg,5,593.487061
4517,dataset\81. academicPhotos\academicPhotos0004919.jpg,5,590.606140
1544,dataset\81. academicPhotos\academicPhotos0001642.jpg,0,589.822876
520,dataset\81. academicPhotos\academicPhotos0000539.jpg,1,589.088013
