component_id,mean,sum,count,min,max
1699,4.000000,4.000000,1.000000,1.000000,1.000000
3890,3.999746,4.000000,0.999936,0.999936,0.999936
625,3.970644,4.000000,0.992661,0.992661,0.992661
498,3.859232,4.000000,0.964808,0.964808,0.964808
3655,3.858862,4.000000,0.964715,0.964715,0.964715
1466,15.985945,16.000000,0.999122,0.996485,1.000000
532,11.777551,12.000000,0.981463,0.978831,0.985296
536,3.900778,4.000000,0.975194,0.975194,0.975194
3979,7.706726,8.000000,0.963341,0.960660,0.966022
1879,3.984685,4.000000,0.996171,0.996171,0.996171
1873,3.988121,4.000000,0.997030,0.997030,0.997030
1959,4.000000,4.000000,1.000000,1.000000,1.000000
568,3.842860,4.000000,0.960715,0.960715,0.960715
576,17.496479,18.000000,0.972027,0.960786,0.985797
1522,11.994704,12.000000,0.999559,0.999338,1.000000
579,7.755382,8.000000,0.969423,0.960769,0.978077
2039,3.840522,4.000000,0.960130,0.960130,0.960130
4045,3.999999,4.000000,1.000000,1.000000,1.000000
602,3.878639,4.000000,0.969660,0.969660,0.969660
603,9.647299,10.000000,0.964730,0.960911,0.967500
1993,3.999999,4.000000,1.000000,1.000000,1.000000
608,11.624537,12.000000,0.968711,0.962317,0.974110
624,4.000000,4.000000,1.000000,1.000000,1.000000
1892,11.621884,12.000000,0.968490,0.963595,0.977828
669,3.974886,4.000000,0.993722,0.993722,0.993722
1844,3.928082,4.000000,0.982020,0.982020,0.982020
3896,3.999595,4.000000,0.999899,0.999899,0.999899
699,11.999981,12.000000,0.999998,0.999998,1.000000
1878,3.981921,4.000000,0.995480,0.995480,0.995480
2087,4.000000,4.000000,1.000000,1.000000,1.000000
1876,3.988355,4.000000,0.997089,0.997089,0.997089
1886,11.590860,12.000000,0.965905,0.962344,0.972139
1371,4.000000,4.000000,1.000000,1.000000,1.000000
733,4.000000,4.000000,1.000000,1.000000,1.000000
746,3.999998,4.000000,1.000000,1.000000,1.000000
3954,13.578981,14.000000,0.969927,0.964651,0.981110
1862,4.000000,4.000000,1.000000,1.000000,1.000000
761,3.999999,4.000000,1.000000,1.000000,1.000000
765,4.000000,4.000000,1.000000,1.000000,1.000000
1727,3.992838,4.000000,0.998209,0.998209,0.998209
1721,3.890822,4.000000,0.972705,0.972705,0.972705
792,3.904664,4.000000,0.976166,0.976166,0.976166
795,4.000000,4.000000,1.000000,1.000000,1.000000
1472,19.985958,20.000000,0.999298,0.996490,1.000000
2497,4.000000,4.000000,1.000000,1.000000,1.000000
810,3.853475,4.000000,0.963369,0.963369,0.963369
2518,3.929595,4.000000,0.982399,0.982399,0.982399
2513,3.999999,4.000000,1.000000,1.000000,1.000000
3238,3.849128,4.000000,0.962282,0.962282,0.962282
826,11.969923,12.000000,0.997494,0.996240,1.000000
3318,3.951156,4.000000,0.987789,0.987789,0.987789
840,11.984878,12.000000,0.998740,0.998110,1.000000
842,3.999998,4.000000,1.000000,1.000000,1.000000
847,4.000000,4.000000,1.000000,1.000000,1.000000
859,3.903418,4.000000,0.975855,0.975855,0.975855
3624,3.885716,4.000000,0.971429,0.971429,0.971429
862,11.749316,12.000000,0.979110,0.972012,0.983520
1687,3.927128,4.000000,0.981782,0.981782,0.981782
874,3.959150,4.000000,0.989787,0.989787,0.989787
1689,3.999997,4.000000,0.999999,0.999999,0.999999
882,3.986740,4.000000,0.996685,0.996685,0.996685
1767,3.999997,4.000000,0.999999,0.999999,0.999999
1761,3.857093,4.000000,0.964273,0.964273,0.964273
1775,3.997239,4.000000,0.999310,0.999310,0.999310
1043,3.991028,4.000000,0.997757,0.997757,0.997757
1556,3.989562,4.000000,0.997390,0.997390,0.997390
1051,3.984012,4.000000,0.996003,0.996003,0.996003
909,3.949687,4.000000,0.987422,0.987422,0.987422
910,3.973449,4.000000,0.993362,0.993362,0.993362
911,3.951131,4.000000,0.987783,0.987783,0.987783
931,3.925190,4.000000,0.981297,0.981297,0.981297
934,3.927487,4.000000,0.981872,0.981872,0.981872
935,3.895398,4.000000,0.973849,0.973849,0.973849
939,3.991035,4.000000,0.997759,0.997759,0.997759
942,15.739075,16.000000,0.983692,0.966248,0.999459
943,3.948457,4.000000,0.987114,0.987114,0.987114
1027,3.982603,4.000000,0.995651,0.995651,0.995651
947,11.773883,12.000000,0.981157,0.971796,0.990004
951,3.918679,4.000000,0.979670,0.979670,0.979670
953,3.928002,4.000000,0.982001,0.982001,0.982001
954,3.979958,4.000000,0.994989,0.994989,0.994989
955,3.935309,4.000000,0.983827,0.983827,0.983827
957,3.975218,4.000000,0.993805,0.993805,0.993805
958,3.979810,4.000000,0.994952,0.994952,0.994952
1548,3.923669,4.000000,0.980917,0.980917,0.980917
959,3.985100,4.000000,0.996275,0.996275,0.996275
962,3.989256,4.000000,0.997314,0.997314,0.997314
963,3.910157,4.000000,0.977539,0.977539,0.977539
3159,3.846999,4.000000,0.961750,0.961750,0.961750
969,3.864602,4.000000,0.966150,0.966150,0.966150
973,3.935989,4.000000,0.983997,0.983997,0.983997
2359,3.999999,4.000000,1.000000,1.000000,1.000000
981,3.974715,4.000000,0.993679,0.993679,0.993679
982,11.971525,12.000000,0.997627,0.996440,1.000000
983,11.979453,12.000000,0.998288,0.997432,1.000000
985,11.976653,12.000000,0.998054,0.997082,1.000000
986,3.999998,4.000000,0.999999,0.999999,0.999999
987,11.950417,12.000000,0.995868,0.993802,1.000000
989,11.977652,12.000000,0.998138,0.997207,1.000000
2355,4.000000,4.000000,1.000000,1.000000,1.000000
990,11.973746,12.000000,0.997812,0.996718,1.000000
