from,to,distance
7692,2346,0.709747
2906,7716,0.709718
7716,2906,0.709718
11085,4707,0.709639
9403,8426,0.709631
4561,2507,0.709620
900,903,0.709605
7883,3361,0.709575
10616,10489,0.709514
3253,6737,0.709445
10253,10230,0.709437
5610,8516,0.709408
5920,4282,0.709332
5749,7060,0.709262
1696,7430,0.709207
7070,7673,0.709200
11920,4439,0.709168
9470,8027,0.709073
5266,6548,0.709008
5610,6769,0.708976
10421,2970,0.708968
3204,10636,0.708948
10636,3204,0.708948
10002,99,0.708944
11885,7914,0.708934
9752,2920,0.708919
11620,5067,0.708877
9827,11566,0.708869
3923,9321,0.708856
9321,3923,0.708856
7940,3417,0.708845
3420,5526,0.708827
5466,11839,0.708766
9018,10023,0.708759
11194,2846,0.708703
10372,10876,0.708673
9642,6690,0.708628
11034,9018,0.708623
566,3463,0.708576
11137,6059,0.708556
2845,841,0.708527
3639,11911,0.708518
11010,9951,0.708516
10283,2839,0.708483
4672,1468,0.708458
1354,7366,0.708419
481,7887,0.708393
11218,8040,0.708342
9219,1514,0.708313
1420,3700,0.708284
3700,1420,0.708284
2831,8934,0.708222
3446,7907,0.708202
10538,9551,0.708186
5050,6691,0.708156
1243,1242,0.708103
7166,3062,0.708065
1902,1942,0.708048
3127,1664,0.707962
9649,5299,0.707957
5406,11612,0.707944
9216,1351,0.707935
9540,9693,0.707926
933,1006,0.707893
9686,3507,0.707885
1974,39,0.707859
8071,6718,0.707829
10565,10641,0.707824
6199,10576,0.707820
1644,10999,0.707796
10197,8889,0.707754
8885,5443,0.707707
4034,3997,0.707707
193,9439,0.707678
4511,10809,0.707671
9514,4662,0.707631
176,5651,0.707570
9249,8158,0.707543
2833,11481,0.707498
3819,2618,0.707488
10662,4085,0.707478
8657,5968,0.707430
5698,1405,0.707358
11218,2243,0.707358
1419,10023,0.707356
6923,2430,0.707352
4913,9853,0.707344
9853,4913,0.707344
3287,5759,0.707295
3822,663,0.707262
3336,6982,0.707202
2931,9345,0.707194
8652,2602,0.707171
7920,10922,0.707122
8080,10837,0.707108
10837,8080,0.707108
7605,5377,0.707078
3221,3322,0.707077
127,5030,0.707023
9114,5426,0.707002
9148,1725,0.706951
5066,8849,0.706870
6681,11082,0.706775
8236,3572,0.706692
3572,8236,0.706692
1870,6984,0.706616
1238,8954,0.706575
9835,5035,0.706555
6446,4317,0.706433
3686,2869,0.706398
