from,to,distance
447,510,0.996003
9872,10411,0.995996
10411,9872,0.995996
10866,5279,0.995995
5279,10866,0.995995
5562,5531,0.995881
5531,5562,0.995881
8795,5317,0.995777
5317,8795,0.995777
11379,11377,0.995744
11377,11379,0.995744
6053,1542,0.995704
1542,6053,0.995704
3608,3999,0.995669
3999,3608,0.995669
1308,10946,0.995626
10946,1308,0.995626
493,514,0.995576
514,493,0.995576
3640,3808,0.995570
3808,3640,0.995570
1795,5087,0.995426
5087,1795,0.995426
1579,4497,0.995381
4497,1579,0.995381
11244,11151,0.995374
11151,11244,0.995374
8512,2962,0.995296
2962,8512,0.995296
4558,5687,0.995255
5687,4558,0.995255
2471,5173,0.995218
5173,2471,0.995218
1667,6364,0.995011
6364,1667,0.995011
8339,4717,0.994983
4717,8339,0.994983
1536,6070,0.994828
6070,1536,0.994828
3637,4108,0.994762
4108,3637,0.994762
5022,2426,0.994733
2426,5022,0.994733
4576,8177,0.994707
8177,4576,0.994707
9054,9569,0.994570
9569,9054,0.994570
7897,5813,0.994553
5813,7897,0.994553
4886,2229,0.994526
2229,4973,0.994526
2229,4886,0.994526
4973,2229,0.994526
8666,9240,0.994526
9240,8666,0.994526
6182,1537,0.994441
1537,6182,0.994441
5872,10430,0.994400
10430,5872,0.994400
10278,1372,0.994294
1372,10278,0.994294
1971,8135,0.994292
8135,1971,0.994292
1341,5626,0.994265
5626,1341,0.994265
2099,4690,0.994254
4690,2099,0.994254
2496,5152,0.994227
5152,2496,0.994227
6065,11028,0.994208
11028,6065,0.994208
1684,6325,0.994177
6325,1684,0.994177
1310,2864,0.994174
2864,1310,0.994174
3601,4214,0.994162
4214,3601,0.994162
5884,10048,0.994044
10048,5884,0.994044
7985,3973,0.993902
3973,7985,0.993902
4204,3602,0.993888
3602,4204,0.993888
1961,8087,0.993869
8087,1961,0.993869
7794,2753,0.993754
2753,7794,0.993754
4233,4399,0.993660
4399,4233,0.993660
2702,8537,0.993617
8537,2702,0.993617
6468,1719,0.993555
1719,6468,0.993555
4714,8327,0.993393
8327,4714,0.993393
1847,7386,0.993386
7386,1847,0.993386
1652,6263,0.993351
6263,1652,0.993351
2748,2471,0.993317
2471,2748,0.993317
10832,10111,0.993308
10111,10832,0.993308
3295,3296,0.993284
3296,3295,0.993284
4919,2394,0.993267
2394,4919,0.993267
2082,8165,0.993263
8165,2082,0.993263
4802,2333,0.993169
2333,4802,0.993169
2069,7772,0.993142
7772,2069,0.993142
4268,4254,0.993075
4254,4268,0.993075
10905,8183,0.992986
8183,10905,0.992986
2352,4940,0.992972
4940,2352,0.992972
5312,5558,0.992886
5558,5312,0.992886
4733,8410,0.992859
8410,4733,0.992859
8209,2098,0.992753
2098,8209,0.992753
1958,8072,0.992726
8072,1958,0.992726
12135,12138,0.992617
12138,12135,0.992617
1491,1521,0.992580
1521,1491,0.992580
12127,12110,0.992553
12110,12127,0.992553
8010,8011,0.992480
8011,8010,0.992480
5629,1343,0.992425
1343,5629,0.992425
10511,5303,0.992305
5303,10511,0.992305
5933,5953,0.992298
5953,5933,0.992298
10086,5938,0.992286
5938,10086,0.992286
8472,2264,0.992238
2264,8472,0.992238
3597,4385,0.992228
4385,3597,0.992228
6402,3635,0.992227
3635,6402,0.992227
6283,6284,0.992175
6284,6283,0.992175
4739,8375,0.992149
8375,4739,0.992149
2502,5178,0.992126
5178,2502,0.992126
8417,2650,0.992087
2650,8417,0.992087
5645,1347,0.992040
1347,5645,0.992040
4742,8385,0.992035
8385,4742,0.992035
2964,8561,0.992013
8561,2964,0.992013
8622,2970,0.992003
2970,8622,0.992003
6290,6285,0.991963
6285,6290,0.991963
10776,9499,0.991897
9499,10776,0.991897
4187,3591,0.991730
3591,4187,0.991730
12052,3438,0.991718
3438,12052,0.991718
10012,10899,0.991648
10899,10012,0.991648
5596,1332,0.991607
1332,5596,0.991607
9461,10060,0.991517
10060,9461,0.991517
10249,10219,0.991453
10219,10249,0.991453
2122,2650,0.991402
2650,2122,0.991402
4701,2162,0.991385
2162,4701,0.991385
5678,7216,0.991368
7216,5678,0.991368
7838,7845,0.991365
7845,7838,0.991365
1344,5634,0.991359
5634,1344,0.991359
1680,8104,0.991328
8104,1680,0.991328
12121,12146,0.991317
12146,12121,0.991317
8611,2331,0.991310
2331,8611,0.991310
1875,7510,0.991283
7510,1875,0.991283
2586,2747,0.991181
2747,2586,0.991181
10252,10249,0.991114
7837,7845,0.991093
7845,7837,0.991093
1442,6003,0.991039
6003,1442,0.991039
5115,2692,0.991038
2692,5115,0.991038
2812,2815,0.991020
2815,2812,0.991020
4915,2370,0.991007
2370,4915,0.991007
8417,2122,0.990962
2122,8417,0.990962
2813,3295,0.990950
3295,2813,0.990950
5844,8076,0.990934
8076,5844,0.990934
7169,4762,0.990933
4762,7169,0.990933
2436,8537,0.990932
8537,2436,0.990932
8230,3759,0.990858
3759,8230,0.990858
6977,1788,0.990723
1788,6977,0.990723
7364,1845,0.990688
1845,7364,0.990688
7846,7841,0.990585
7841,7846,0.990585
10877,2138,0.990496
2138,10877,0.990496
10212,10219,0.990440
8332,4643,0.990387
4643,8332,0.990387
4872,1987,0.990380
1987,4872,0.990380
7838,7840,0.990341
7840,7838,0.990341
1593,1452,0.990307
1452,1593,0.990307
11590,9601,0.990229
9601,11590,0.990229
6290,6289,0.990221
6289,6290,0.990221
2719,7626,0.990124
7626,2719,0.990124
5293,8717,0.990017
8717,5293,0.990017
7837,7838,0.990016
5173,2748,0.989967
2748,5173,0.989967
8005,8007,0.989953
8007,8005,0.989953
1335,5599,0.989915
5599,1335,0.989915
2931,1980,0.989912
1980,2931,0.989912
10921,11660,0.989903
11660,10921,0.989903
8390,4741,0.989833
4741,8390,0.989833
7840,7837,0.989823
8612,4819,0.989799
4819,8612,0.989799
2697,8461,0.989778
8461,2697,0.989778
11568,10670,0.989763
10670,11568,0.989763
1967,8108,0.989721
8108,1967,0.989721
4793,2319,0.989719
2319,4793,0.989719
2735,5167,0.989713
5167,2735,0.989713
7846,7849,0.989695
7849,7846,0.989695
12047,3440,0.989678
3440,12047,0.989678
2929,7786,0.989653
7786,2929,0.989653
7844,7843,0.989650
7843,7844,0.989650
5037,2543,0.989645
2543,5037,0.989645
4717,2187,0.989616
2187,4717,0.989616
2124,8239,0.989614
8239,2124,0.989614
10435,11491,0.989575
11491,10435,0.989575
9156,11163,0.989512
11163,9156,0.989512
10188,9261,0.989493
9261,10188,0.989493
1760,6645,0.989440
6645,1760,0.989440
7839,7838,0.989413
1271,5519,0.989385
5519,1271,0.989385
2461,8312,0.989328
8312,2461,0.989328
5094,2138,0.989307
2138,5094,0.989307
11092,11094,0.989203
11094,11092,0.989203
6287,6284,0.989119
6284,6287,0.989119
10143,2840,0.988896
2840,10143,0.988896
12071,3444,0.988881
3444,12071,0.988881
7851,7838,0.988735
7841,7840,0.988663
11549,11653,0.988627
11653,11549,0.988627
4064,8028,0.988572
8028,4064,0.988572
3928,3924,0.988569
3924,3928,0.988569
1264,10429,0.988555
10429,1264,0.988555
7847,7842,0.988554
7842,7847,0.988554
6285,6289,0.988552
6289,6285,0.988552
10728,11590,0.988521
11590,10728,0.988521
10226,10249,0.988490
7190,1816,0.988477
1816,7190,0.988477
6291,6293,0.988313
6293,6291,0.988313
7851,7842,0.988307
7842,7851,0.988307
9323,6962,0.988272
6962,9323,0.988272
1241,1246,0.988193
1246,1241,0.988193
7852,7841,0.988172
8398,2225,0.988155
2225,8398,0.988155
3286,5249,0.988153
5249,3286,0.988153
1771,6789,0.988116
6789,1771,0.988116
8339,2187,0.988094
2187,8339,0.988094
6992,1789,0.988065
1789,6992,0.988065
2567,5187,0.988011
5187,2567,0.988011
8011,8007,0.988009
8007,8011,0.988009
7323,3721,0.988007
3721,7323,0.988007
9037,11135,0.987993
11135,9037,0.987993
8006,8005,0.987913
8005,8006,0.987913
7839,7837,0.987913
10226,10212,0.987898
1459,5945,0.987862
5945,1459,0.987862
3392,12127,0.987845
12127,3392,0.987845
3392,12110,0.987811
12110,3392,0.987811
10524,11519,0.987730
11519,10524,0.987730
5295,5436,0.987697
5436,5295,0.987697
12009,3430,0.987693
3430,12009,0.987693
8307,2170,0.987672
2170,8307,0.987672
3824,7828,0.987626
7828,3824,0.987626
8012,8011,0.987613
12012,5507,0.987563
5507,12012,0.987563
5597,1333,0.987545
1333,5597,0.987545
8008,8005,0.987355
3319,12110,0.987347
1498,6116,0.987321
6116,1498,0.987321
7847,7851,0.987283
7849,7841,0.987282
8727,5299,0.987179
5299,8727,0.987179
2106,8222,0.987099
8222,2106,0.987099
4521,8333,0.987097
8333,4521,0.987097
6294,6293,0.987073
6293,6294,0.987073
2119,8232,0.987063
8232,2119,0.987063
2281,8529,0.987061
8529,2281,0.987061
8312,10978,0.987022
10978,8312,0.987022
6287,6283,0.986995
6283,6287,0.986995
7836,7847,0.986929
7836,7849,0.986928
10406,5434,0.986905
5434,10406,0.986905
4266,4269,0.986833
4269,4266,0.986833
1579,7705,0.986738
7705,1579,0.986738
4631,2139,0.986716
2139,4631,0.986716
9560,10070,0.986701
9565,10070,0.986701
10070,9565,0.986701
10070,9560,0.986701
11366,9994,0.986629
9994,11366,0.986629
7844,7845,0.986606
7852,7837,0.986543
1673,6306,0.986350
6306,1673,0.986350
7835,7846,0.986225
8395,2224,0.986048
2224,8395,0.986048
4855,2329,0.985891
2329,4855,0.985891
1634,7749,0.985869
7749,1634,0.985869
1281,8930,0.985846
8930,1281,0.985846
7172,1808,0.985840
1808,7172,0.985840
8006,8007,0.985837
2230,8401,0.985835
8401,2230,0.985835
11446,10284,0.985730
10284,11446,0.985730
11365,11323,0.985683
11323,11365,0.985683
8503,9349,0.985679
9349,8503,0.985679
8008,8007,0.985665
4804,4850,0.985650
4850,4804,0.985650
9324,9356,0.985518
9356,9324,0.985518
6281,6280,0.985495
6280,6281,0.985495
7965,2728,0.985458
2728,7965,0.985458
1861,7469,0.985440
7469,1861,0.985440
4811,4531,0.985439
4531,4811,0.985439
1827,7274,0.985411
7274,1827,0.985411
2340,4868,0.985378
4868,2340,0.985378
10655,11560,0.985371
11560,10655,0.985371
8261,8411,0.985334
8411,8261,0.985334
11150,11139,0.985265
11139,11150,0.985265
2461,10978,0.985199
10978,2461,0.985199
2702,2436,0.985169
2436,2702,0.985169
6291,6294,0.985102
6294,6291,0.985102
3319,3392,0.984900
7848,7846,0.984884
7676,3760,0.984846
3760,7676,0.984846
12161,12030,0.984792
12030,12161,0.984792
7835,7838,0.984769
3828,3851,0.984724
3851,3828,0.984724
11936,3425,0.984718
3425,11936,0.984718
6742,6387,0.984577
6387,6742,0.984577
7834,7847,0.984505
11426,11400,0.984491
11400,11426,0.984491
8810,10141,0.984340
10141,8810,0.984340
4296,8129,0.984312
8129,4296,0.984312
3878,7925,0.984149
7925,3878,0.984149
6507,1738,0.984107
1738,6507,0.984107
2295,8556,0.984050
8556,2295,0.984050
7848,7841,0.984028
7850,7843,0.983955
7843,7850,0.983955
8010,8005,0.983930
5388,9158,0.983812
9158,5388,0.983812
8919,9611,0.983771
9611,8919,0.983771
9662,9728,0.983765
9728,9662,0.983765
9349,4790,0.983575
4790,9349,0.983575
1520,6149,0.983533
6149,1520,0.983533
11874,11916,0.983443
11916,11874,0.983443
1200,1199,0.983299
1199,1200,0.983299
