component_id,mean,sum,count,min,max
2472,3.989786,4.000000,0.997446,0.997446,0.997446
2610,3.994238,4.000000,0.998559,0.998559,0.998559
1246,3.954221,4.000000,0.988555,0.988555,0.988555
1252,3.984232,4.000000,0.996058,0.996058,0.996058
1253,3.957540,4.000000,0.989385,0.989385,0.989385
2424,3.994014,4.000000,0.998503,0.998503,0.998503
1857,11.604158,12.000000,0.967013,0.964539,0.970205
1267,3.926711,4.000000,0.981678,0.981678,0.981678
1277,3.932778,4.000000,0.983195,0.983195,0.983195
1282,3.996249,4.000000,0.999062,0.999062,0.999062
2235,3.996590,4.000000,0.999148,0.999148,0.999148
1290,3.982505,4.000000,0.995626,0.995626,0.995626
1301,3.985847,4.000000,0.996462,0.996462,0.996462
2141,17.381464,18.000000,0.965637,0.961505,0.968125
1314,3.966429,4.000000,0.991607,0.991607,0.991607
2139,3.950690,4.000000,0.987672,0.987672,0.987672
1321,3.991744,4.000000,0.997936,0.997936,0.997936
1329,3.968159,4.000000,0.992040,0.992040,0.992040
4049,3.995732,4.000000,0.998933,0.998933,0.998933
1780,3.990881,4.000000,0.997720,0.997720,0.997720
1354,3.977175,4.000000,0.994294,0.994294,0.994294
1392,3.992785,4.000000,0.998196,0.998196,0.998196
1768,3.952260,4.000000,0.988065,0.988065,0.988065
1413,3.991076,4.000000,0.997769,0.997769,0.997769
2072,3.977016,4.000000,0.994254,0.994254,0.994254
1424,3.964158,4.000000,0.991039,0.991039,0.991039
2146,11.593894,12.000000,0.966158,0.962102,0.972028
1748,3.931407,4.000000,0.982852,0.982852,0.982852
2056,3.973053,4.000000,0.993263,0.993263,0.993263
2647,3.990155,4.000000,0.997539,0.997539,0.997539
2857,11.784525,12.000000,0.982044,0.973291,0.998203
1483,3.986307,4.000000,0.996577,0.996577,0.996577
1501,3.934134,4.000000,0.983533,0.983533,0.983533
1653,3.987039,4.000000,0.996760,0.996760,0.996760
1516,3.979314,4.000000,0.994828,0.994828,0.994828
1517,3.977765,4.000000,0.994441,0.994441,0.994441
2631,3.995104,4.000000,0.998776,0.998776,0.998776
1609,3.908268,4.000000,0.977067,0.977067,0.977067
1531,3.907835,4.000000,0.976959,0.976959,0.976959
1613,3.943476,4.000000,0.985869,0.985869,0.985869
1554,3.890481,4.000000,0.972620,0.972620,0.972620
1559,11.859839,12.000000,0.988320,0.982840,0.995381
1584,3.865663,4.000000,0.966416,0.966416,0.966416
1655,3.907064,4.000000,0.976766,0.976766,0.976766
1663,3.976710,4.000000,0.994177,0.994177,0.994177
1667,3.989532,4.000000,0.997383,0.997383,0.997383
1686,3.985766,4.000000,0.996442,0.996442,0.996442
1693,3.993377,4.000000,0.998344,0.998344,0.998344
1717,3.936430,4.000000,0.984107,0.984107,0.984107
1718,3.989589,4.000000,0.997397,0.997397,0.997397
1739,11.714090,12.000000,0.976174,0.967131,0.989440
1742,3.986719,4.000000,0.996680,0.996680,0.996680
1747,3.989294,4.000000,0.997323,0.997323,0.997323
1750,3.952462,4.000000,0.988116,0.988116,0.988116
1757,3.854968,4.000000,0.963742,0.963742,0.963742
1766,11.833423,12.000000,0.986119,0.980573,0.997156
1774,11.955969,12.000000,0.996331,0.995426,0.996916
1787,3.943359,4.000000,0.985840,0.985840,0.985840
1789,3.909071,4.000000,0.977268,0.977268,0.977268
2230,3.840186,4.000000,0.960046,0.960046,0.960046
1824,3.962754,4.000000,0.990688,0.990688,0.990688
1826,3.973543,4.000000,0.993386,0.993386,0.993386
3521,3.975554,4.000000,0.993888,0.993888,0.993888
1840,3.941761,4.000000,0.985440,0.985440,0.985440
2214,3.929750,4.000000,0.982438,0.982438,0.982438
2294,3.965239,4.000000,0.991310,0.991310,0.991310
1863,3.918848,4.000000,0.979712,0.979712,0.979712
1866,3.996360,4.000000,0.999090,0.999090,0.999090
2198,3.943339,4.000000,0.985835,0.985835,0.985835
2278,3.860840,4.000000,0.965210,0.965210,0.965210
1923,3.908975,4.000000,0.977244,0.977244,0.977244
2584,3.919954,4.000000,0.979989,0.979989,0.979989
1933,3.970906,4.000000,0.992726,0.992726,0.992726
1941,3.996212,4.000000,0.999053,0.999053,0.999053
1942,3.958885,4.000000,0.989721,0.989721,0.989721
1947,3.985767,4.000000,0.996442,0.996442,0.996442
2648,3.959113,4.000000,0.989778,0.989778,0.989778
3363,3.955524,4.000000,0.988881,0.988881,0.988881
3380,3.845851,4.000000,0.961463,0.961463,0.961463
2361,3.873486,4.000000,0.968372,0.968372,0.968372
2021,3.895533,4.000000,0.973883,0.973883,0.973883
2632,3.992760,4.000000,0.998190,0.998190,0.998190
2043,3.972566,4.000000,0.993142,0.993142,0.993142
3513,3.986275,4.000000,0.996569,0.996569,0.996569
2944,3.857066,4.000000,0.964266,0.964266,0.964266
2079,3.948396,4.000000,0.987099,0.987099,0.987099
2091,11.897804,12.000000,0.991484,0.990962,0.992087
2093,3.958457,4.000000,0.989614,0.989614,0.989614
2102,3.863906,4.000000,0.965977,0.965977,0.965977
2107,11.914108,12.000000,0.992842,0.989307,0.998724
2108,3.946862,4.000000,0.986716,0.986716,0.986716
2116,3.909356,4.000000,0.977339,0.977339,0.977339
2117,3.871120,4.000000,0.967780,0.967780,0.967780
2121,3.909165,4.000000,0.977291,0.977291,0.977291
2131,3.965539,4.000000,0.991385,0.991385,0.991385
3527,3.982674,4.000000,0.995669,0.995669,0.995669
2132,3.995279,4.000000,0.998820,0.998820,0.998820
3535,3.986259,4.000000,0.996565,0.996565,0.996565
2140,3.894615,4.000000,0.973654,0.973654,0.973654
2156,11.890773,12.000000,0.990898,0.988094,0.994983
3559,3.984781,4.000000,0.996195,0.996195,0.996195
3553,3.968907,4.000000,0.992227,0.992227,0.992227
3350,3.900983,4.000000,0.975246,0.975246,0.975246
2186,3.889813,4.000000,0.972453,0.972453,0.972453
2192,3.944192,4.000000,0.986048,0.986048,0.986048
2193,19.475595,20.000000,0.973780,0.960943,0.988155
2197,23.654865,24.000000,0.985619,0.968001,1.000000
2865,3.958613,4.000000,0.989653,0.989653,0.989653
2211,3.931975,4.000000,0.982994,0.982994,0.982994
2213,11.808387,12.000000,0.984032,0.976629,0.996519
2225,3.926988,4.000000,0.981747,0.981747,0.981747
2228,3.928492,4.000000,0.982123,0.982123,0.982123
2231,3.968951,4.000000,0.992238,0.992238,0.992238
2234,3.924505,4.000000,0.981126,0.981126,0.981126
2238,3.845023,4.000000,0.961256,0.961256,0.961256
2240,3.918109,4.000000,0.979527,0.979527,0.979527
2901,3.968013,4.000000,0.992003,0.992003,0.992003
2244,3.845420,4.000000,0.961355,0.961355,0.961355
2254,3.890002,4.000000,0.972501,0.972501,0.972501
2260,3.936202,4.000000,0.984050,0.984050,0.984050
2272,3.999999,4.000000,1.000000,1.000000,1.000000
2280,3.921992,4.000000,0.980498,0.980498,0.980498
2282,3.958875,4.000000,0.989719,0.989719,0.989719
2292,3.943565,4.000000,0.985891,0.985891,0.985891
2296,3.972676,4.000000,0.993169,0.993169,0.993169
2303,3.941513,4.000000,0.985378,0.985378,0.985378
2740,3.998394,4.000000,0.999599,0.999599,0.999599
3249,3.999998,4.000000,1.000000,1.000000,1.000000
2313,3.994976,4.000000,0.998744,0.998744,0.998744
2315,3.971889,4.000000,0.992972,0.992972,0.992972
2332,11.719285,12.000000,0.976607,0.965296,0.991007
2335,3.990232,4.000000,0.997558,0.997558,0.997558
4040,3.920731,4.000000,0.980183,0.980183,0.980183
2724,3.897838,4.000000,0.974460,0.974460,0.974460
3241,15.817329,16.000000,0.988583,0.984900,0.992553
2366,11.802849,12.000000,0.983571,0.975166,0.999896
2368,11.830448,12.000000,0.985871,0.976988,0.997333
2374,3.986769,4.000000,0.996692,0.996692,0.996692
2378,3.993606,4.000000,0.998402,0.998402,0.998402
2383,3.988308,4.000000,0.997077,0.997077,0.997077
2387,3.978932,4.000000,0.994733,0.994733,0.994733
2414,3.990257,4.000000,0.997564,0.997564,0.997564
2419,3.888303,4.000000,0.972076,0.972076,0.972076
2421,11.846199,12.000000,0.987183,0.985199,0.989328
2430,3.988211,4.000000,0.997053,0.997053,0.997053
2436,3.899552,4.000000,0.974888,0.974888,0.974888
3102,3.840791,4.000000,0.960198,0.960198,0.960198
2441,7.724076,8.000000,0.965510,0.964160,0.966859
2589,3.993406,4.000000,0.998352,0.998352,0.998352
2451,3.990304,4.000000,0.997576,0.997576,0.997576
2453,3.976909,4.000000,0.994227,0.994227,0.994227
2669,3.960495,4.000000,0.990124,0.990124,0.990124
2621,3.992055,4.000000,0.998014,0.998014,0.998014
3595,3.864894,4.000000,0.966223,0.966223,0.966223
2498,3.928148,4.000000,0.982037,0.982037,0.982037
2500,7.800684,8.000000,0.975086,0.960527,0.989645
5727,3.985552,4.000000,0.996388,0.996388,0.996388
2729,3.998225,4.000000,0.999556,0.999556,0.999556
2521,3.999757,4.000000,0.999939,0.999939,0.999939
2526,3.990916,4.000000,0.997729,0.997729,0.997729
2527,3.986880,4.000000,0.996720,0.996720,0.996720
2532,17.513273,18.000000,0.972960,0.960750,0.997590
2533,3.999082,4.000000,0.999770,0.999770,0.999770
2537,3.858512,4.000000,0.964628,0.964628,0.964628
2542,3.964724,4.000000,0.991181,0.991181,0.991181
2625,3.912648,4.000000,0.978162,0.978162,0.978162
2545,11.726651,12.000000,0.977221,0.966555,0.996826
2547,3.988608,4.000000,0.997152,0.997152,0.997152
2549,3.904373,4.000000,0.976093,0.976093,0.976093
2558,3.990692,4.000000,0.997673,0.997673,0.997673
2559,3.850134,4.000000,0.962533,0.962533,0.962533
2564,3.928570,4.000000,0.982143,0.982143,0.982143
2566,13.542273,14.000000,0.967305,0.961907,0.973569
2571,3.893950,4.000000,0.973488,0.973488,0.973488
